factor,observations,mean_ic,median_ic,hit_ratio_ic_positive,mean_top_minus_bottom_return,hit_ratio_top_minus_bottom_positive
eps_growth_fy2_vs_fy0,20,0.17454545454545456,0.18333333333333335,0.65,0.014747798641379855,0.6
analyst_coverage,22,0.1659124208710331,0.11909735782734499,0.6818181818181818,0.020941369310201453,0.5454545454545454
ni_growth_fy2_vs_fy0,20,0.16226190476190477,0.1785714285714286,0.65,0.02792412728463926,0.55
sales_current_year_e,22,0.15757575757575756,0.2333333333333333,0.6818181818181818,0.032407038701693744,0.7272727272727273
sales_next_year_e,22,0.15694608421881148,0.2333333333333333,0.7272727272727273,0.031021980888487136,0.7272727272727273
log_market_cap,22,0.15098537825810557,0.2447552447552448,0.7272727272727273,0.02118076821696233,0.7272727272727273
rating_total_count,22,0.1474311775381861,0.13062516211864322,0.5909090909090909,0.00917588703444553,0.5909090909090909
sales_spread_fy1_minus_fy0,22,0.14571035025580484,0.15,0.6818181818181818,0.01899911225991488,0.5909090909090909
target_total_count,22,0.14542614037227028,0.11802383735083052,0.5909090909090909,0.00917588703444553,0.5909090909090909
target_confidence,22,0.13512519506215762,0.08136391917173931,0.5909090909090909,0.006573493558759383,0.5909090909090909
ic_supported_information_growth_score,22,0.12809917355371903,0.11888111888111888,0.6818181818181818,0.004532494424159405,0.6363636363636364
op_spread_fy1_minus_fy0,22,0.12549193231011413,0.15075757575757578,0.6363636363636364,0.010510641907556222,0.5909090909090909
rating_point,10,0.11423737812664014,0.2901294265928297,0.7,0.016476392737742776,0.6363636363636364
vol_20d_ann,22,0.10228862047043866,0.09790209790209792,0.6363636363636364,0.05941148650414001,0.5454545454545454
log_trading_value,22,0.09440559440559443,0.06643356643356643,0.6363636363636364,0.018763556866205042,0.5454545454545454
drawdown_60d,19,0.08758951606761786,0.03732330748306609,0.5263157894736842,-0.004631832497080779,0.631578947368421
earnings_yield_per,22,0.08154269972451791,0.08787878787878789,0.5454545454545454,0.040376176717771176,0.6363636363636364
korea_research_core_score,22,0.07596948506039414,0.06993006993006994,0.5909090909090909,0.014925899201624227,0.6818181818181818
rating_revision_balance,3,0.057921900933919974,0.08247860988423225,0.6666666666666666,0.01979784012736047,0.5909090909090909
value_profitability_lowrisk_score,22,0.056579783852511126,0.04895104895104895,0.5454545454545454,0.02738803743796089,0.5909090909090909
book_to_price_pbr,22,0.03388429752066116,0.009090909090909094,0.5,0.04186613216670571,0.5454545454545454
sales_to_price_psr,22,0.029597379864744696,0.0,0.5,0.043147610603276924,0.6363636363636364
op_margin_fy1,22,0.02746950019677291,-0.020238095238095243,0.45454545454545453,0.006899927272032152,0.4090909090909091
earnings_revision_momentum_proxy_score,22,0.004632674567623204,0.07366676958149594,0.5454545454545454,-0.01916567714869484,0.5
revision_momentum_risk_adjusted_score,22,0.0012714558169103698,-0.03496503496503497,0.45454545454545453,-0.008026256664497654,0.5
target_price_revision_21d,21,-0.000838254819919345,0.01695158759052026,0.5714285714285714,-0.019982093101026235,0.47619047619047616
ni_margin_fy1,22,-0.0063656040928768256,-0.07142857142857144,0.4090909090909091,0.00356503805234365,0.4090909090909091
consensus_core_equal_score,22,-0.0065492062651792745,-0.017484836698521126,0.5,-0.024448742303405727,0.36363636363636365
eps_yield_fy1,22,-0.01394136166863439,-0.016666666666666663,0.5,-0.00475910374528265,0.4090909090909091
eps_revision_3m,19,-0.025355993869773136,-0.03333333333333333,0.47368421052631576,-0.007074239033289415,0.42105263157894735
eps_revision_1m,21,-0.02609775158454302,0.08383383833392813,0.5238095238095238,0.01698077783920452,0.6190476190476191
target_upside,22,-0.034002361275088565,-0.03214285714285715,0.36363636363636365,-0.011652474726316042,0.45454545454545453
op_revision_3m,19,-0.042743221690590104,0.06666666666666665,0.5263157894736842,-0.0054170975988457265,0.47368421052631576
consensus_core_risk_adjusted_score,22,-0.05212968849332487,-0.1363636363636364,0.36363636363636365,-0.03221318698727626,0.4090909090909091
consensus_core_score,22,-0.0577920935829539,-0.0583855443959309,0.36363636363636365,-0.03443451538855838,0.36363636363636365
