robustness_category,robustness_setting,setting_label,experiment_name,cumulative_return,benchmark_cumulative_return,excess_cumulative_return_pct_point,annualized_volatility,sharpe_ratio,max_drawdown,tracking_error,information_ratio,correlation,average_turnover,turnover_binding_count,total_trading_cost_return,individual_min_weight,individual_max_weight,optimizer_te_target,cost_scenario,dynamic_slippage_enabled,slippage_aum_krw,slippage_execution_days,market_impact_coefficient,rebalance_frequency,score_profile
최종 기준,baseline,최종 기준,robust_baseline,6.640554930356096,4.958751849439356,1.6818030809167404,0.5578044685872037,3.937338775223953,-0.32915664897741737,0.1789540918959837,0.8432480627763108,0.9474061784676301,0.04714296867064635,26,-0.06143001564276081,0.01,0.5,0.2,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
TE budget,te10,TE 10%,robust_te10,5.542906017646251,4.958751849439356,0.5841541682068954,0.5422537087673172,3.5503565569679516,-0.3518181215592163,0.08975253052530337,0.6015902835837889,0.9862724508531455,0.030407578170188965,5,-0.03954201858802918,0.01,0.5,0.1,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
TE budget,te15,TE 15%,robust_te15,6.0175333650752245,4.958751849439356,1.0587815156358689,0.5481055954816885,3.7303510483318583,-0.34260139942155166,0.13436317907381448,0.7225283772360103,0.9696427436970424,0.04031789733874791,14,-0.05245845492903718,0.01,0.5,0.15,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
TE budget,te20,TE 20%,robust_te20,6.640554930356096,4.958751849439356,1.6818030809167404,0.5578044685872037,3.937338775223953,-0.32915664897741737,0.1789540918959837,0.8432480627763108,0.9474061784676301,0.04714296867064635,26,-0.06143001564276081,0.01,0.5,0.2,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
Max weight,max_weight30,Max 30%,robust_max_weight30,5.83996016654191,4.958751849439356,0.881208317102554,0.5490965611801769,3.643003532881337,-0.35134407683099667,0.169931508685743,0.4881097431318986,0.9515050340098704,0.043756190907908575,27,-0.057062345040558335,0.01,0.3,0.2,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
Max weight,max_weight50,Max 50%,robust_max_weight50,6.640554930356096,4.958751849439356,1.6818030809167404,0.5578044685872037,3.937338775223953,-0.32915664897741737,0.1789540918959837,0.8432480627763108,0.9474061784676301,0.04714296867064635,26,-0.06143001564276081,0.01,0.5,0.2,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
Max weight,max_weight70,Max 70%,robust_max_weight70,6.6033562669296995,4.958751849439356,1.6446044174903438,0.5589935082923817,3.9130395504297404,-0.3282615584908084,0.17850051014426893,0.833300295848872,0.9478546237816536,0.04736821455541741,27,-0.0616912679901469,0.01,0.7,0.2,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
Cost,cost_base,Cost base,robust_cost_base,6.640554930356096,4.958751849439356,1.6818030809167404,0.5578044685872037,3.937338775223953,-0.32915664897741737,0.1789540918959837,0.8432480627763108,0.9474061784676301,0.04714296867064635,26,-0.06143001564276081,0.01,0.5,0.2,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
Cost,cost_stress,Cost stress,robust_cost_stress,6.267167239896461,4.958751849439356,1.308415390457105,0.5581178983273062,3.773488649075177,-0.3323914052587149,0.17913592335221298,0.6828667771482317,0.9473455171214491,0.04714296867064635,26,-0.11143927680858245,0.01,0.5,0.2,stress,False,10000000000.0,3,0.005,weekly,consensus_core_equal
Cost,cost_dynamic,Dynamic cost,robust_cost_dynamic,6.453915678214235,4.958751849439356,1.4951638287748796,0.5579134275464138,3.856178331853634,-0.3302985894630909,0.1791478410016822,0.7634411353810852,0.9473076042518279,0.04714296867064635,26,-0.0861642709608895,0.01,0.5,0.2,base,True,10000000000.0,3,0.005,weekly,consensus_core_equal
Rebalance,rebalance_weekly,주간,robust_rebalance_weekly,6.640554930356096,4.958751849439356,1.6818030809167404,0.5578044685872037,3.937338775223953,-0.32915664897741737,0.1789540918959837,0.8432480627763108,0.9474061784676301,0.04714296867064635,26,-0.06143001564276081,0.01,0.5,0.2,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
Rebalance,rebalance_biweekly,격주,robust_rebalance_biweekly,6.3817520243697015,4.958751849439356,1.4230001749303458,0.5534373107197784,3.855799234685651,-0.347572926552395,0.15964282458531803,0.8095072896962567,0.957697396248415,0.02912664347427554,31,-0.03787547572921528,0.01,0.5,0.2,base,False,10000000000.0,3,0.005,biweekly,consensus_core_equal
Factor weight,factor_503020,팩터 50/30/20,robust_factor_503020,6.471116823426861,4.958751849439356,1.5123649739875056,0.557152551106111,3.86889959616254,-0.33934034825671366,0.17866607570799142,0.7695297710802084,0.9474798172196358,0.04849356580692669,32,-0.06309336189856554,0.01,0.5,0.2,base,False,10000000000.0,3,0.005,weekly,consensus_core
Factor weight,factor_equal,팩터 동일가중,robust_factor_equal,6.640554930356096,4.958751849439356,1.6818030809167404,0.5578044685872037,3.937338775223953,-0.32915664897741737,0.1789540918959837,0.8432480627763108,0.9474061784676301,0.04714296867064635,26,-0.06143001564276081,0.01,0.5,0.2,base,False,10000000000.0,3,0.005,weekly,consensus_core_equal
