stock_code,stock_name,first_pdf_inclusion_date,first_pdf_weight_pct,last_pdf_positive_date,last_pdf_weight_pct,max_pdf_weight_pct,positive_pdf_days,first_strategy_positive_rebalance_date
000500,가온전선,2024-07-09,1.25,2026-05-06,5.38,5.38,442,2024-07-12
001440,대한전선,2024-07-09,11.69999999999999,2026-05-06,10.88,12.75,442,2024-07-12
006260,LS,2024-07-09,15.160000000000002,2026-05-06,12.97,19.1,442,2024-07-12
010120,LS ELECTRIC,2024-07-09,20.01,2026-05-06,24.60999999999999,29.23,442,2024-07-12
033100,제룡전기,2024-07-09,8.219999999999999,2026-05-06,1.38,8.219999999999999,442,2024-07-12
060370,LS마린솔루션,2024-07-09,1.73,2026-05-06,1.13999999999999,2.45,442,2024-07-12
103590,일진전기,2024-07-09,2.71,2026-05-06,4.63,5.38999999999999,442,2024-07-12
229640,LS에코에너지,2024-07-09,2.66999999999999,2026-05-06,1.23,4.08,442,2024-07-12
267260,HD현대일렉트릭,2024-07-09,20.82,2026-05-06,12.740000000000002,28.499999999999996,442,2024-07-12
298040,효성중공업,2024-07-09,15.340000000000002,2026-05-06,18.0,30.09,442,2024-07-12
KRD010010001,원화현금,2024-07-09,0.3899999999999999,2026-05-06,0.09,1.39999999999999,432,
062040,산일전기,2024-12-16,7.12,2026-05-06,5.50999999999999,7.13,335,2024-12-20
006340,대원전선,2025-12-15,0.83,2026-05-06,1.43,1.47,94,2025-12-19
